author	comment	vote	snownlp
？者	敢 拍敢 上 已经 赢	686	0.2915047678798742
beki	高三 不 收 手机	10111	0.2912345569700423
明媚少年蒋劲娃	抄袭 一辈子 钉 耻辱柱 上	14	0.26421478648062957
押木茂	不好	14	0.24509033778476041
郑二千小姐	恶意 无端 针对 人 别人 没有 做错	14763	0.2304353671425814
没有人比我更可	路 人 只 看过 小说 才 去 看 电影 完全 心里 小北 陈念 超级 霸凌 想象 不 出来 竟然 四字 竟然 厉害	12346	0.21747037921276124
扭腰客	周 冬雨 好 不像话 一帧 都 多种 情绪 暗潮汹涌 面部 大特写 佝偻 背影 都 戏里 尼玛 再 下去 搞不好 会 成为 仅次于 巩俐 谋女郎 易 烊 千玺 天分 努力 能接 住 周 冬雨 戏 了不起 淬炼 阴暗 肮脏 青春 真的 不想 再 提起	26	0.18524502363538675
伍月龙骁	抄袭 令人作呕 !	29	0.1641208000236417
大島	上来 差点 没 听懂 was usedtobe 到底 区别	186	0.14494180954061187
性感小野猫	抄袭 电影 只能 一星 ☺ ️	11	0.124052168163721
岱隐	不想 原 创作者 心寒 .....	37	0.11919323873668275
Enjolras	观影 时 不幸 步入 49 小女生 加 中年男人 尴尬 场次 周 冬雨 问易 烊 千玺 硬 不 硬 时 听见 两个 手机 摔 地上 声音 … …	25	0.11312325687717684
柚子好吃😋	占座 哭 太狠 思路 不 清晰 稍后 写	641	0.1066915728437815
猴赛雷	不 所有 电影 制作方 都 应该 知道 买 抄袭 作品 版权 不	308	0.10628458715529177
sjksmamm	拍 不错 抄袭 无耻	22	0.09404322037911805
文小侠	浪费 钱 不能 看 TF 东西	33	0.04509459324498899
拨号上网	奉劝 别看 以为 周 冬雨 托起 这部 戏 带不动 脸瘫 弟弟	842	0.044571750610218674
余烬	真 多人 吹 爆 害得 带 餐巾纸 都 没用 去 妈 感人 ヽ ￣ д ￣ ノ 还 抄袭	19	0.04336281254295682
唐林	原著 抄袭 流量 担纲 直接 一星 不谢	32	0.0426218526265959
今墨	现在 融梗 女王 利字 当头 没点 操守 1 星 gei 四字 周 冬雨	16	0.039931691483857334
Chinese-Idiot	不管怎样 抄袭 原著 进行 改编 这种 行为 没得 洗 根都 烂 叶子 再 霸凌	11	0.03373948024220641
一根鸡毛	演技 剧情 一刀 烂 粉 实话实说 一分 给易 烊 千玺 一分 票 钱 刷下来 一致 好评 都 怀疑 没 认真 看 真的 没有 一场 电影 坐立不安 想 离开 .....	121	0.033532026572002716
Sissi	抄袭 洗白 态度 真是 刷新 认知 做错 就要 挨打 好	11	0.02241716658994808
蟹粉小笼包	抄袭 垃圾 抄袭 故事 还 讲 稀碎 最后 小黄 鸭 演技 依然 出色 但易 烊 千玺 丑 就算 演技 还 吊打 心疼 时间 票 钱 🙄 ️	616	0.015222612653505885
杨洋icon	一分 演员 人物 单薄 无病呻吟 逻辑 不通 太 尴尬 值得 两星 抄袭	23	0.013062438414206956
小汤圆	今天 去 看 一下 真的 太烂 改 乱七八糟	175	0.0038884983500562242
Flynn	看 完 极度 不适 恶心 地想 吐 情节 牵强 人设 奇葩 观影 体验 极差	26	0.0034451769053382986
小错君	易 烊 千玺 第一部 电影 表现 实在 亮眼 故事 实在 太差 就算 抄袭 融梗 作品 依旧 差 对不起 抄袭 送 钱	46	0.002539189228821237
小A萌	台詞 寫 「 從來 沒有 一節 課教過 我們 變成 大人 拍 這部 電影 過程 一節 課 教會 我們 做 回 少年	44	0.0015648230972244992
赫塔费发挥嘉宾	不 提融 梗 抄袭 这种 垃圾 事 光 只 电影 逻辑 细节 看 垃圾 无疑 不 住校 高考 所谓 优秀生 披头散发 公然 带 耳机 等等等等 真帮人 公开 假装 110 难道 不是 背后	151	0.0002483318992170247
