author	comment	vote	snownlp
唐朝	不 知道 算不算 近十年 或者说 唯一 看到 少年 控诉 抗议 成人 世界 最 直接 一部 中国 挺好的 这是 强调 长辈 权威 中国 文化 里 很难 看到 一种 情绪 表达 还 不断 遭到 扼杀 尤其 当成 人 代表 警察 时 更 困难 最后 男女 主 面对 警察 审问 时 保护 对方 自救 交叉 剪辑 呈现 两人 陈述 精彩绝伦 国产挺好的 里 从未 感受 轻蔑 成人 情绪 涌 上 心头 这是 国外 挺好的 某类 特定 国产 宣教 挺好的 司空见惯 情绪 表达 国产挺好的 里 第一次 来自 真正 意义 上 受害者 灵魂 控诉 任何人 不会 看 一部 挺好的 倍受 感动 更 了解 好看者 处境 现实 没有 上帝 视角 往往 充满 误解 偏见 看到 意识 问题 存在 才 更加 重要 这步 才 探讨 反思 可能 只会 沉浸 岁月 静好 幻想 中	18	1.0
我hello弟弟	保护 世界 保护 相信 相信 本身 ! 故事 倒序 展开 曾 最好 乐园 依靠 校园 可能 都 曾 孤立 欺负 需要 勇敢 说 出来 陈念 小北 两个 人 生活 充满希望 选择 欺负 选择 加入 一起 欺负 故事 讲 真的 很 好 剧情 感人 真实 演员 演技 在线 眼神 里 有戏 仿佛 角色 本身 带 很 好 带入 剧情 祝 少年 票房 大卖	89	1.0
sTill-Life	影片 校园 欺凌 这一 社会 题材 上 找到 感觉 明显 没有 打算 讲得 更 深入 私 以为 90% 以上 校园 欺凌 事件 根源 都 原生 家庭 问题 脱离 开施 害者 角度 讨论 都 缺乏 说服力 创作者 更 关注点 放在 两位 少年 成长 情感 上 影像 表达 细腻 动人 情绪 一层层 堆叠 人 推向 一种 深层 绝望 挣扎 千玺 表演 很 人 惊喜 尤其 监狱 那场 对视 戏 周 冬雨 很稳 学会 后背 演戏 整体 很 不错 剧本 方面 稍 欠缺	21	1.0
喵喵喵	挺 期待 中国 拍出 校园 喜欢 相关 议题 ⋯ ⋯ 曾 经历 ⋯ 特别 难受 😣 曾国祥 真的 拍出 真实世界 导演 青春片 不 花样 浪漫 少年 这般 深入 骨血 不得不 说 两位 主演 角色 之间 建立 信任 人 羡慕 不已 保护 世界 保护 只 相信 对方 多么 可贵 ⋯ ⋯ 配乐 部分 真的 很 强大 音符 片段 配合 天衣无缝 个人 认为 这部 国产片 改变 青春片 流量 看法 挺 值得	1808	1.0
seabisuit	都 不想 做 嗜睡 正义 不提 删改 应该 包括 故事 字幕 交待 发生 2011 年 重庆 相差 八岁 成熟 稚嫩 相抵 融合 反应 小 周小易 表演 出乎意料 好 可惜 没有 匹配 奖项 提名 表彰 不 喜欢 七月 安生 后半段 审讯 折服 有太多 玩味 触及 人性 家庭教育 社会 戏眼 镜头 前半段 还 不解 女 反派 用力 过猛 原来 未来 还 藏 更 大 boss 身后 注视 少年 成年 帮着 掩埋 判决 粉饰 岂止 校园 好看	17	1.0
鹤归山ubelongto	与其说 主演 路 人粉 倒不如 挺好的 粉来 形容 更为 贴切 这部 挺好的 从定 档到 撤档 再定 档 寄予 太多太多 厚望 赋予 太多太多 期望 今天 挺好的院 里 走一遭 只能 说 值得 等待 值得 期望 值得 这部 挺好的 反映 现如今 社会 角落 正在 发生 事情 逃避 无法 解决问题 直面 问题 才 正确 选择 两位 主演 演绎 非常 用心 周 冬雨 演技 一如既往 牵动 心 易 烊 千玺 很 惊喜 靖安 寺司 丞 李泌 小北 粉丝 观众们 交了 一份 满意 答卷 少年 未来 期 好 说 一看 我要 去 推荐 身边 朋友 去 看	2220	1.0
冰红深蓝	1 一部 都 深深 共情 青春 残酷 物语 终于 大 银幕 上 呈 露出 校园 好看 冰山一角 高考 精神 恶战 欺凌 身体 戕害 罪与非罪 心灵 拷问 无处不在 压抑 助推 恰如其分 情感 爆发 2 周 冬雨 易 烊 千玺 银幕 时刻 都 真切 逼人 恍若 洞穿 角色 灵魂 几场 哭戏 母女 通话 探监 无言 尤佳 令人 潸然泪下 3 大量 浅 景深 特写 大 特写镜头 刻画 人物 彰显 出 孤独 个体 自我 坚持 适时 手持 晃镜 破碎 剪辑 亦 影片 酷烈 气调 完美 融合 4 几个 互文 关系 边缘 人群 描摹 承接 春天 白夜 行 式 故事 内核 陈念 破旧 公寓 第一个 夜晚 镜头 营造 出 灰黑 可怕 景深 恍若 暗无天日 宿命 无尽 炼狱 令人 想及 幻影 凶间 中 无尽 无窗 墙壁 监狱 探视 时 二 脸叠影 同质 第三度 嫌疑人 5 废墟 中 强暴 场景 极具 美学 象征 意味 8.8 10	232	1.0
深海爆炸	值得 力荐 这部 超现实主义 校园 青春片 每个 人 里面 或许 都 找到 曾经 孤立 欺负 自卑 敏感 迷茫 逃避 每个 成长 路上 或多或少 都 会 遇见 烦恼 挺好的 名字 BetterDays 这是 一部 带 爱 希望 向阳 而生 挺好的 身处 阴沟 仰望 星空 陈念 抓住 愿意 拼 尽全力 守护 小北 相互 救赎 两个 少年 同样 陈念 小北 黑暗世界 唯一 不 覆灭 微光 不 打垮 信念 掷地有声 倔强 温柔 静谧 守护 不得不 承认 角落里 一种 青春 模样 两个 少年 成长 情感 相互 救赎 真的 太 感人 经历 最后 陈念 世界 报之以 歌 看 真的 哭 笑 😭 😭	342	1.0
掉线	B 无 意外 今年 华语 挺好的 最佳 质量 大胆 程度 题材 现实意义 都 宛如 一部 药神 校园 喜欢 这件 事上 浅层 批评 好看 深层 更是 直指 整个 社会 教育 缺失 成年人 青少年 自以为是 了解 冷漠 而小北 陈 念白 夜行 互相 舔 舐 却 无法 相认 情感 关系 极其 催泪 七月 安生 曾国祥 导演 水平 成熟 很多 大量 手持 镜头 特写 利落 剪辑 逼迫 音效 冰冷 残酷 压力 无处不在 少年 世界 压抑 人 喘 气 审查 原因 最后 三十分钟 略 拖泥带水 总体 来说 仍 今年 最 值得 去 影院 支持 作品 最后 周 冬雨 易 烊 千玺 演技 双炸	709	1.0
神奇宝贝皮卡丘	易 烊 千玺 演 真 好 特别 棒 挺好的 开头 是从 现在 回忆 过去 时间 正好 剧情 紧凑 不 拖泥带水 观众 带入 剧情 中 小北 念念 受到 伤害 时能 体会 处境 后期 还 非常 贴心 提醒 大家 防范 校园 喜欢 剧组 特别 用心 赞 👍	104	1.0
